font-size,font-weight,color,backgroundColor,name,sector
28px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Dynegy,Energy
60px,400,"rgb(0,89,132)","rgba(0,0,0,0)",Duke Energy,Energy
40px,700,"rgb(51,51,153)","rgba(0,0,0,0)",Dominion Energy,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
32px,400,"rgb(0,180,205)","rgba(0,0,0,0)",Devon Energy,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
36px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Ferrellgas Partners,Energy
50px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Genesis Energy,Energy
68px,700,"rgb(255,255,255)","rgba(0,0,0,0)",First Solar,Energy
56px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Vistra Energy,Energy
13.3333px,400,"rgb(153,153,153)","rgba(0,0,0,0)",New Jersey Resources,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
36px,500,"rgb(0,0,0)","rgba(0,0,0,0)",Freeport-McMoRan,Energy
36px,500,"rgb(0,0,0)","rgba(0,0,0,0)",Freeport-McMoRan,Energy
56.7px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
48px,300,"rgb(0,47,135)","rgba(0,0,0,0)",Vectren,Energy
30px,600,"rgb(0,117,176)","rgba(0,0,0,0)",AES,Energy
32px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
54px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Vistra Energy,Energy
44px,300,"rgb(96,125,139)","rgba(0,0,0,0)",Vistra Energy,Energy
50px,400,"rgb(10,10,10)","rgba(0,0,0,0)",FirstEnergy,Energy
18px,400,"rgb(51,51,51)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pioneer Natural Resources,Energy
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pioneer Natural Resources,Energy
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pioneer Natural Resources,Energy
42px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pioneer Natural Resources,Energy
52px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pioneer Natural Resources,Energy
39px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pinnacle West Capital,Energy
39px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pinnacle West Capital,Energy
39px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pinnacle West Capital,Energy
25px,700,"rgb(50,50,51)","rgba(0,0,0,0)",Ameren,Energy
39px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pinnacle West Capital,Energy
60px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
60px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
60px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
39px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Pinnacle West Capital,Energy
36px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Portland General Electric,Energy
13.3333px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Alliant Energy,Energy
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Alliant Energy,Energy
47px,200,"rgb(1,147,213)","rgba(0,0,0,0)",Sempra Energy,Energy
28px,400,"rgb(35,31,32)","rgba(0,0,0,0)",SCANA,Energy
46px,400,"rgb(255,255,255)","rgba(0,0,0,0)",SCANA,Energy
46px,400,"rgb(255,255,255)","rgba(0,0,0,0)",SCANA,Energy
22px,700,"rgb(35,31,32)","rgba(0,0,0,0)",SCANA,Energy
22px,700,"rgb(35,31,32)","rgba(0,0,0,0)",SCANA,Energy
22px,700,"rgb(35,31,32)","rgba(0,0,0,0)",SCANA,Energy
22px,700,"rgb(35,31,32)","rgba(0,0,0,0)",SCANA,Energy
28px,700,"rgb(102,102,102)","rgba(0,0,0,0)",SCANA,Energy
36px,400,"rgb(99,100,103)","rgba(0,0,0,0)",Southern,Energy
36px,400,"rgb(99,100,103)","rgba(0,0,0,0)",Southern,Energy
36px,400,"rgb(178,210,53)","rgba(0,0,0,0)",Southern,Energy
36px,400,"rgb(178,210,53)","rgba(0,0,0,0)",Southern,Energy
36px,400,"rgb(99,100,103)","rgba(0,0,0,0)",Southern,Energy
36px,400,"rgb(99,100,103)","rgba(0,0,0,0)",Southern,Energy
14px,700,"rgb(23,59,81)","rgba(0,0,0,0)",Superior Energy Services,Energy
30px,400,"rgb(0,118,192)","rgba(0,0,0,0)",Renewable Energy Group,Energy
30px,400,"rgb(0,118,192)","rgba(0,0,0,0)",Renewable Energy Group,Energy
14.4px,700,"rgb(34,34,34)","rgba(0,0,0,0)",Range Resources,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
19.2px,500,"rgb(181,106,30)","rgba(0,0,0,0)",Occidental Petroleum,Energy
20px,800,"rgb(0,0,0)","rgba(0,0,0,0)",NiSource,Energy
20px,800,"rgb(0,0,0)","rgba(0,0,0,0)",NiSource,Energy
20px,800,"rgb(0,0,0)","rgba(0,0,0,0)",NiSource,Energy
64px,400,"rgb(255,255,255)","rgba(0,0,0,0)",NextEra Energy,Energy
18px,400,"rgb(51,51,51)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(51,51,51)","rgba(0,0,0,0)",Newmont Mining,Energy
14px,400,"rgb(154,153,110)","rgba(0,0,0,0)",Newmont Mining,Energy
14px,400,"rgb(154,153,110)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
36px,700,"rgb(81,81,81)","rgba(0,0,0,0)",Williams,Energy
19.2px,500,"rgb(181,106,30)","rgba(0,0,0,0)",Occidental Petroleum,Energy
18px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Newmont Mining,Energy
70px,500,"rgb(119,120,123)","rgba(0,0,0,0)",Oceaneering International,Energy
13.3333px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Oceaneering International,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
35px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Phillips,Energy
47px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Peabody Energy,Energy
47px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Peabody Energy,Energy
47px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Peabody Energy,Energy
160px,400,"rgb(255,255,255)","rgba(0,0,0,0)",American Electric Power,Energy
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Patterson-UTI Energy,Energy
48px,500,"rgb(255,255,255)","rgba(0,0,0,0)",PPL,Energy
48px,700,"rgb(0,61,96)","rgba(0,0,0,0)",American Water Works,Energy
21px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Oneok,Energy
21px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Oneok,Energy
21px,400,"rgb(153,153,153)","rgba(0,0,0,0)",Oneok,Energy
21px,400,"rgb(250,175,64)","rgba(0,0,0,0)",Oneok,Energy
50px,400,"rgb(59,61,64)","rgba(0,0,0,0)",Oceaneering International,Energy
28px,600,"rgb(255,255,255)","rgba(0,0,0,0)",AES,Energy
24px,400,"rgb(68,84,105)","rgba(0,0,0,0)",Arch Coal,Energy
15px,700,"rgb(119,119,119)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
15px,400,"rgb(0,0,0)","rgba(0,0,0,0)",CMS Energy,Energy
16px,400,"rgb(0,92,185)","rgba(0,0,0,0)",CMS Energy,Energy
20px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
20px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
95px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Consolidated Edison,Energy
20px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
20px,700,"rgb(76,178,223)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
16px,400,"rgb(0,92,185)","rgba(0,0,0,0)",CMS Energy,Energy
20px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
20px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
20px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
20px,700,"rgb(76,178,223)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
32px,700,"rgb(0,0,0)","rgba(0,0,0,0)",ConocoPhillips,Energy
45px,100,"rgb(55,55,55)","rgba(0,0,0,0)",CenterPoint Energy,Energy
20px,700,"rgb(119,119,119)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
45px,100,"rgb(55,55,55)","rgba(0,0,0,0)",CenterPoint Energy,Energy
42px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Cheniere Energy,Energy
20px,700,"rgb(119,119,119)","rgba(0,0,0,0)",Crestwood Equity Partners,Energy
16px,400,"rgb(0,92,185)","rgba(0,0,0,0)",CMS Energy,Energy
40px,700,"rgb(51,51,153)","rgba(0,0,0,0)",Cleveland-Cliffs,Energy
80px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Xcel Energy,Energy
18px,400,"rgb(255,255,255)","rgb(6,167,226)",CMS Energy,Energy
77px,400,"rgb(242,242,242)","rgba(0,0,0,0)",NVR,Engineering & Construction
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Hovnanian Enterprises,Engineering & Construction
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Hovnanian Enterprises,Engineering & Construction
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Hovnanian Enterprises,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
36.8px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Toll Brothers,Engineering & Construction
16px,400,"rgb(152,165,172)","rgba(0,0,0,0)",TopBuild,Engineering & Construction
16px,400,"rgb(152,165,172)","rgba(0,0,0,0)",TopBuild,Engineering & Construction
16px,400,"rgb(152,165,172)","rgba(0,0,0,0)",TopBuild,Engineering & Construction
56px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Jacobs Engineering Group,Engineering & Construction
80px,700,"rgb(255,255,255)","rgba(0,0,0,0)",KB Home,Engineering & Construction
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Hovnanian Enterprises,Engineering & Construction
16px,400,"rgb(152,165,172)","rgba(0,0,0,0)",TopBuild,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
50px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Quanta Services,Engineering & Construction
22px,400,"rgb(114,114,114)","rgba(0,0,0,0)",TRI Pointe Group,Engineering & Construction
26px,400,"rgb(211,18,69)","rgba(0,0,0,0)",Taylor Morrison Home,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
80px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Beazer Homes USA,Engineering & Construction
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Primoris Services,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
30px,700,"rgb(0,62,116)","rgba(0,0,0,0)",Fluor,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
36px,400,"rgb(3,55,100)","rgba(0,0,0,0)",PulteGroup,Engineering & Construction
50px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Quanta Services,Engineering & Construction
40px,600,"rgb(255,255,255)","rgba(0,0,0,0)",Tetra Tech,Engineering & Construction
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",EMCOR Group,Engineering & Construction
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Hovnanian Enterprises,Engineering & Construction
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",EMCOR Group,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",EMCOR Group,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
17.16px,400,"rgb(255,255,255)","rgba(0,0,0,0)",D.R. Horton,Engineering & Construction
52px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Lennar,Engineering & Construction
36px,700,"rgb(0,0,0)","rgba(0,0,0,0)",AECOM,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
28px,700,"rgb(255,255,255)","rgba(0,0,0,0)",EMCOR Group,Engineering & Construction
100px,600,"rgb(255,255,255)","rgba(0,0,0,0)",MasTec,Engineering & Construction
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",EMCOR Group,Engineering & Construction
24px,400,"rgb(0,49,80)","rgba(0,0,0,0)",Hanover Insurance Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
33.1776px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Unum Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
45px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Hanover Insurance Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
21.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
21.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
24px,400,"rgb(0,49,80)","rgba(0,0,0,0)",Hanover Insurance Group,Financials
28px,500,"rgb(72,72,72)","rgba(0,0,0,0)",Hartford Financial Services,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
21.6px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
42px,500,"rgb(47,55,62)","rgba(0,0,0,0)",Ameriprise Financial,Financials
42px,500,"rgb(47,55,62)","rgba(0,0,0,0)",Ameriprise Financial,Financials
39px,400,"rgb(0,63,109)","rgba(0,0,0,0)",Ameriprise Financial,Financials
149px,400,"rgba(47,48,51,0.75)","rgba(0,0,0,0)",Ameriprise Financial,Financials
33.1776px,400,"rgb(46,46,46)","rgba(0,0,0,0)",Unum Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
50px,400,"rgb(53,54,58)","rgba(0,0,0,0)",New York Life Insurance,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(0,148,95)","rgba(0,0,0,0)",Citizens Financial Group,Financials
33.1776px,400,"rgb(46,46,46)","rgba(0,0,0,0)",Unum Group,Financials
35.2px,500,"rgb(2,138,226)","rgba(0,0,0,0)",Citigroup,Financials
26px,600,"rgb(224,23,25)","rgba(0,0,0,0)",Travelers Cos.,Financials
62px,700,"rgb(0,49,108)","rgba(0,0,0,0)",Annaly Capital Management,Financials
22.4px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
22.4px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
22.4px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
36px,500,"rgb(77,77,77)","rgba(0,0,0,0)",Brown & Brown,Financials
60px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Goldman Sachs Group,Financials
60px,100,"rgb(255,255,255)","rgba(0,0,0,0)",Goldman Sachs Group,Financials
22.4px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
22.4px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
27px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Citigroup,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
35px,500,"rgb(68,70,75)","rgba(0,0,0,0)",Assurant,Financials
36px,500,"rgb(68,68,68)","rgba(0,0,0,0)",Auto-Owners Insurance,Financials
47px,700,"rgb(255,255,255)","rgba(0,0,0,0)",OneMain Holdings,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
70px,700,"rgb(255,255,255)","rgba(0,0,0,0)",HCP,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
60px,500,"rgb(0,0,0)","rgba(0,0,0,0)",TIAA,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
30px,500,"rgb(4,86,167)","rgba(0,0,0,0)",Assurant,Financials
82px,400,"rgb(13,63,94)","rgba(0,0,0,0)",Guardian Life Ins. Co. of America,Financials
50px,400,"rgb(13,63,94)","rgba(0,0,0,0)",Guardian Life Ins. Co. of America,Financials
62px,700,"rgb(241,241,241)","rgba(0,0,0,0)",Annaly Capital Management,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
22px,400,"rgb(52,55,65)","rgba(0,0,0,0)",Liberty Mutual Insurance Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
44px,500,"rgb(52,52,52)","rgba(0,0,0,0)",Northern Trust,Financials
50px,300,"rgb(130,36,51)","rgba(0,0,0,0)",Lincoln National,Financials
120px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Northwestern Mutual,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
58px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Assurant,Financials
24px,400,"rgb(72,72,72)","rgba(0,0,0,0)",PNC Financial Services,Financials
32px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
40px,300,"rgb(255,255,255)","rgba(0,0,0,0)",Legg Mason,Financials
17.776px,900,"rgb(71,10,104)","rgba(0,0,0,0)",Navient,Financials
52px,500,"rgb(10,161,71)","rgba(0,0,0,0)",Securian Financial Group,Financials
35px,400,"rgb(0,0,0)","rgba(0,0,0,0)",Apollo Global Management,Financials
16px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Icahn Enterprises,Financials
32px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(0,148,95)","rgba(0,0,0,0)",Citizens Financial Group,Financials
35px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Citizens Financial Group,Financials
53.3333px,600,"rgb(170,170,170)","rgba(0,0,0,0)",Torchmark,Financials
14px,400,"rgb(249,199,5)","rgba(0,0,0,0)",USAA,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
32.2px,400,"rgb(0,82,76)","rgba(0,0,0,0)",Amica Mutual Insurance,Financials
30.1088px,400,"rgb(73,73,73)","rgba(0,0,0,0)",Arthur J. Gallagher,Financials
59.994px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Huntington Bancshares,Financials
32.2px,400,"rgb(0,82,76)","rgba(0,0,0,0)",Amica Mutual Insurance,Financials
19.2px,400,"rgb(102,102,102)","rgba(0,0,0,0)",Marsh & McLennan,Financials
35px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Interactive Brokers Group,Financials
35px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Interactive Brokers Group,Financials
50px,700,"rgb(0,0,0)","rgba(0,0,0,0)",Intercontinental Exchange,Financials
41px,400,"rgb(62,72,76)","rgba(0,0,0,0)",KeyCorp,Financials
60px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Massachusetts Mutual Life Insurance,Financials
30px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Massachusetts Mutual Life Insurance,Financials
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",U.S. Bancorp,Financials
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",U.S. Bancorp,Financials
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",U.S. Bancorp,Financials
60px,700,"rgb(255,255,255)","rgba(0,0,0,0)",U.S. Bancorp,Financials
42px,700,"rgb(255,255,255)","rgba(0,0,0,0)",U.S. Bancorp,Financials
60px,500,"rgb(255,255,255)","rgba(0,0,0,0)",KKR,Financials
40px,700,"rgb(51,51,153)","rgba(0,0,0,0)",Jones Financial (Edward Jones),Financials
40px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Medical Mutual of Ohio,Financials
